linguagem,cenario,rotulo,lado,n_celulas,rodada,seed,tempo_ms,nos_expandidos,custo_caminho
python,melhor,pequena,51,2601,1,,0.166700,51,50
python,melhor,pequena,51,2601,2,,0.177000,51,50
python,melhor,pequena,51,2601,3,,0.166400,51,50
python,melhor,pequena,51,2601,4,,0.164300,51,50
python,melhor,pequena,51,2601,5,,0.163000,51,50
python,melhor,pequena,51,2601,6,,0.166400,51,50
python,melhor,pequena,51,2601,7,,0.165900,51,50
python,melhor,pequena,51,2601,8,,0.165300,51,50
python,melhor,pequena,51,2601,9,,0.169500,51,50
python,melhor,pequena,51,2601,10,,0.175500,51,50
python,melhor,pequena,51,2601,11,,0.173400,51,50
python,melhor,pequena,51,2601,12,,0.163500,51,50
python,melhor,pequena,51,2601,13,,0.165600,51,50
python,melhor,pequena,51,2601,14,,0.171100,51,50
python,melhor,pequena,51,2601,15,,0.162500,51,50
python,melhor,pequena,51,2601,16,,0.160800,51,50
python,melhor,pequena,51,2601,17,,0.162100,51,50
python,melhor,pequena,51,2601,18,,0.163000,51,50
python,melhor,pequena,51,2601,19,,0.161100,51,50
python,melhor,pequena,51,2601,20,,0.160300,51,50
python,melhor,pequena,51,2601,21,,0.161900,51,50
python,melhor,pequena,51,2601,22,,0.165900,51,50
python,melhor,pequena,51,2601,23,,0.165800,51,50
python,melhor,pequena,51,2601,24,,0.166200,51,50
python,melhor,pequena,51,2601,25,,0.162800,51,50
python,melhor,pequena,51,2601,26,,0.171100,51,50
python,melhor,pequena,51,2601,27,,0.162300,51,50
python,melhor,pequena,51,2601,28,,0.162700,51,50
python,melhor,pequena,51,2601,29,,0.161500,51,50
python,melhor,pequena,51,2601,30,,0.162300,51,50
python,melhor,intermediaria,101,10201,1,,0.341200,101,100
python,melhor,intermediaria,101,10201,2,,0.341300,101,100
python,melhor,intermediaria,101,10201,3,,0.343400,101,100
python,melhor,intermediaria,101,10201,4,,0.343800,101,100
python,melhor,intermediaria,101,10201,5,,0.349500,101,100
python,melhor,intermediaria,101,10201,6,,0.340200,101,100
python,melhor,intermediaria,101,10201,7,,0.339200,101,100
python,melhor,intermediaria,101,10201,8,,0.338800,101,100
python,melhor,intermediaria,101,10201,9,,0.341400,101,100
python,melhor,intermediaria,101,10201,10,,0.340000,101,100
python,melhor,intermediaria,101,10201,11,,0.346200,101,100
python,melhor,intermediaria,101,10201,12,,0.340700,101,100
python,melhor,intermediaria,101,10201,13,,0.354000,101,100
python,melhor,intermediaria,101,10201,14,,0.342000,101,100
python,melhor,intermediaria,101,10201,15,,0.343000,101,100
python,melhor,intermediaria,101,10201,16,,0.344400,101,100
python,melhor,intermediaria,101,10201,17,,0.348600,101,100
python,melhor,intermediaria,101,10201,18,,0.371900,101,100
python,melhor,intermediaria,101,10201,19,,0.417700,101,100
python,melhor,intermediaria,101,10201,20,,0.352200,101,100
python,melhor,intermediaria,101,10201,21,,0.365500,101,100
python,melhor,intermediaria,101,10201,22,,0.359100,101,100
python,melhor,intermediaria,101,10201,23,,0.345200,101,100
python,melhor,intermediaria,101,10201,24,,0.342900,101,100
python,melhor,intermediaria,101,10201,25,,0.342200,101,100
python,melhor,intermediaria,101,10201,26,,0.342800,101,100
python,melhor,intermediaria,101,10201,27,,0.348600,101,100
python,melhor,intermediaria,101,10201,28,,0.351800,101,100
python,melhor,intermediaria,101,10201,29,,0.344600,101,100
python,melhor,intermediaria,101,10201,30,,0.343200,101,100
python,melhor,media,151,22801,1,,0.522800,151,150
python,melhor,media,151,22801,2,,0.524100,151,150
python,melhor,media,151,22801,3,,0.530200,151,150
python,melhor,media,151,22801,4,,0.526400,151,150
python,melhor,media,151,22801,5,,0.521700,151,150
python,melhor,media,151,22801,6,,0.522900,151,150
python,melhor,media,151,22801,7,,0.532400,151,150
python,melhor,media,151,22801,8,,0.523600,151,150
python,melhor,media,151,22801,9,,0.525200,151,150
python,melhor,media,151,22801,10,,0.533000,151,150
python,melhor,media,151,22801,11,,0.543400,151,150
python,melhor,media,151,22801,12,,0.533000,151,150
python,melhor,media,151,22801,13,,0.561300,151,150
python,melhor,media,151,22801,14,,0.562100,151,150
python,melhor,media,151,22801,15,,0.609100,151,150
python,melhor,media,151,22801,16,,0.525000,151,150
python,melhor,media,151,22801,17,,0.525700,151,150
python,melhor,media,151,22801,18,,0.532600,151,150
python,melhor,media,151,22801,19,,0.863800,151,150
python,melhor,media,151,22801,20,,1.088600,151,150
python,melhor,media,151,22801,21,,0.921900,151,150
python,melhor,media,151,22801,22,,0.909400,151,150
python,melhor,media,151,22801,23,,0.980000,151,150
python,melhor,media,151,22801,24,,0.953100,151,150
python,melhor,media,151,22801,25,,0.993700,151,150
python,melhor,media,151,22801,26,,0.962600,151,150
python,melhor,media,151,22801,27,,0.956900,151,150
python,melhor,media,151,22801,28,,0.958700,151,150
python,melhor,media,151,22801,29,,0.963700,151,150
python,melhor,media,151,22801,30,,0.902600,151,150
python,melhor,intermediaria,201,40401,1,,0.720600,201,200
python,melhor,intermediaria,201,40401,2,,0.713500,201,200
python,melhor,intermediaria,201,40401,3,,0.707800,201,200
python,melhor,intermediaria,201,40401,4,,0.729200,201,200
python,melhor,intermediaria,201,40401,5,,0.717800,201,200
python,melhor,intermediaria,201,40401,6,,0.729600,201,200
python,melhor,intermediaria,201,40401,7,,0.735000,201,200
python,melhor,intermediaria,201,40401,8,,0.706200,201,200
python,melhor,intermediaria,201,40401,9,,0.713900,201,200
python,melhor,intermediaria,201,40401,10,,0.702800,201,200
python,melhor,intermediaria,201,40401,11,,0.705700,201,200
python,melhor,intermediaria,201,40401,12,,0.723500,201,200
python,melhor,intermediaria,201,40401,13,,0.727300,201,200
python,melhor,intermediaria,201,40401,14,,0.733800,201,200
python,melhor,intermediaria,201,40401,15,,0.718400,201,200
python,melhor,intermediaria,201,40401,16,,0.708000,201,200
python,melhor,intermediaria,201,40401,17,,0.703600,201,200
python,melhor,intermediaria,201,40401,18,,0.710300,201,200
python,melhor,intermediaria,201,40401,19,,0.707200,201,200
python,melhor,intermediaria,201,40401,20,,0.701400,201,200
python,melhor,intermediaria,201,40401,21,,0.705900,201,200
python,melhor,intermediaria,201,40401,22,,0.698700,201,200
python,melhor,intermediaria,201,40401,23,,0.702600,201,200
python,melhor,intermediaria,201,40401,24,,0.697300,201,200
python,melhor,intermediaria,201,40401,25,,0.700000,201,200
python,melhor,intermediaria,201,40401,26,,0.734000,201,200
python,melhor,intermediaria,201,40401,27,,0.699800,201,200
python,melhor,intermediaria,201,40401,28,,0.699500,201,200
python,melhor,intermediaria,201,40401,29,,0.714000,201,200
python,melhor,intermediaria,201,40401,30,,0.699400,201,200
python,melhor,intermediaria,251,63001,1,,0.896100,251,250
python,melhor,intermediaria,251,63001,2,,0.899600,251,250
python,melhor,intermediaria,251,63001,3,,0.894100,251,250
python,melhor,intermediaria,251,63001,4,,0.902200,251,250
python,melhor,intermediaria,251,63001,5,,0.899400,251,250
python,melhor,intermediaria,251,63001,6,,0.906600,251,250
python,melhor,intermediaria,251,63001,7,,0.904900,251,250
python,melhor,intermediaria,251,63001,8,,0.910700,251,250
python,melhor,intermediaria,251,63001,9,,0.907600,251,250
python,melhor,intermediaria,251,63001,10,,0.896000,251,250
python,melhor,intermediaria,251,63001,11,,1.080100,251,250
python,melhor,intermediaria,251,63001,12,,0.920800,251,250
python,melhor,intermediaria,251,63001,13,,0.987000,251,250
python,melhor,intermediaria,251,63001,14,,1.247800,251,250
python,melhor,intermediaria,251,63001,15,,0.937700,251,250
python,melhor,intermediaria,251,63001,16,,0.906500,251,250
python,melhor,intermediaria,251,63001,17,,0.906300,251,250
python,melhor,intermediaria,251,63001,18,,0.898900,251,250
python,melhor,intermediaria,251,63001,19,,0.900000,251,250
python,melhor,intermediaria,251,63001,20,,0.891600,251,250
python,melhor,intermediaria,251,63001,21,,0.892500,251,250
python,melhor,intermediaria,251,63001,22,,0.896400,251,250
python,melhor,intermediaria,251,63001,23,,0.890100,251,250
python,melhor,intermediaria,251,63001,24,,0.893900,251,250
python,melhor,intermediaria,251,63001,25,,0.889800,251,250
python,melhor,intermediaria,251,63001,26,,0.899800,251,250
python,melhor,intermediaria,251,63001,27,,0.902300,251,250
python,melhor,intermediaria,251,63001,28,,0.920300,251,250
python,melhor,intermediaria,251,63001,29,,0.914900,251,250
python,melhor,intermediaria,251,63001,30,,0.927500,251,250
python,melhor,grande,301,90601,1,,1.169100,301,300
python,melhor,grande,301,90601,2,,1.137700,301,300
python,melhor,grande,301,90601,3,,1.131000,301,300
python,melhor,grande,301,90601,4,,1.150200,301,300
python,melhor,grande,301,90601,5,,1.136800,301,300
python,melhor,grande,301,90601,6,,1.134400,301,300
python,melhor,grande,301,90601,7,,1.132400,301,300
python,melhor,grande,301,90601,8,,1.413000,301,300
python,melhor,grande,301,90601,9,,1.159700,301,300
python,melhor,grande,301,90601,10,,1.144800,301,300
python,melhor,grande,301,90601,11,,1.139200,301,300
python,melhor,grande,301,90601,12,,1.156600,301,300
python,melhor,grande,301,90601,13,,1.135200,301,300
python,melhor,grande,301,90601,14,,1.142100,301,300
python,melhor,grande,301,90601,15,,1.131500,301,300
python,melhor,grande,301,90601,16,,1.132500,301,300
python,melhor,grande,301,90601,17,,1.132800,301,300
python,melhor,grande,301,90601,18,,1.126800,301,300
python,melhor,grande,301,90601,19,,1.131200,301,300
python,melhor,grande,301,90601,20,,1.124500,301,300
python,melhor,grande,301,90601,21,,1.135800,301,300
python,melhor,grande,301,90601,22,,1.126300,301,300
python,melhor,grande,301,90601,23,,1.132600,301,300
python,melhor,grande,301,90601,24,,1.132800,301,300
python,melhor,grande,301,90601,25,,1.127300,301,300
python,melhor,grande,301,90601,26,,1.134200,301,300
python,melhor,grande,301,90601,27,,1.161800,301,300
python,melhor,grande,301,90601,28,,1.142800,301,300
python,melhor,grande,301,90601,29,,1.140800,301,300
python,melhor,grande,301,90601,30,,1.168800,301,300
python,medio,pequena,51,2601,1,1,0.869200,343,100
python,medio,pequena,51,2601,2,2,0.852300,339,100
python,medio,pequena,51,2601,3,3,0.899200,351,100
python,medio,pequena,51,2601,4,1000007,0.477400,175,100
python,medio,pequena,51,2601,5,3000014,0.612400,232,100
python,medio,pequena,51,2601,6,1000009,0.374000,141,100
python,medio,pequena,51,2601,7,7,0.564300,229,100
python,medio,pequena,51,2601,8,8,0.581000,223,100
python,medio,pequena,51,2601,9,9,0.412900,160,100
python,medio,pequena,51,2601,10,10,1.106700,316,100
python,medio,pequena,51,2601,11,11,0.739900,274,102
python,medio,pequena,51,2601,12,12,1.090600,323,100
python,medio,pequena,51,2601,13,13,1.047100,433,102
python,medio,pequena,51,2601,14,14,0.736600,294,100
python,medio,pequena,51,2601,15,1000018,0.721300,269,100
python,medio,pequena,51,2601,16,16,0.582600,225,100
python,medio,pequena,51,2601,17,2000023,0.825700,308,100
python,medio,pequena,51,2601,18,18,0.613500,225,100
python,medio,pequena,51,2601,19,19,0.531000,152,100
python,medio,pequena,51,2601,20,20,0.892200,338,100
python,medio,pequena,51,2601,21,1000024,0.700000,273,100
python,medio,pequena,51,2601,22,22,0.433700,172,100
python,medio,pequena,51,2601,23,23,0.579200,240,102
python,medio,pequena,51,2601,24,24,0.593500,239,100
python,medio,pequena,51,2601,25,25,0.491900,192,100
python,medio,pequena,51,2601,26,26,0.586600,230,100
python,medio,pequena,51,2601,27,4000039,0.487700,179,100
python,medio,pequena,51,2601,28,28,0.726500,292,100
python,medio,pequena,51,2601,29,1000032,0.407800,161,100
python,medio,pequena,51,2601,30,30,0.535600,207,100
python,medio,intermediaria,101,10201,1,1000004,1.107600,420,200
python,medio,intermediaria,101,10201,2,2,3.994700,1493,200
python,medio,intermediaria,101,10201,3,1000006,1.127800,446,200
python,medio,intermediaria,101,10201,4,4,1.161800,451,200
python,medio,intermediaria,101,10201,5,1000008,2.328200,928,200
python,medio,intermediaria,101,10201,6,2000012,1.061800,389,200
python,medio,intermediaria,101,10201,7,7,3.720000,1287,202
python,medio,intermediaria,101,10201,8,8,2.274700,817,200
python,medio,intermediaria,101,10201,9,9,1.660100,573,200
python,medio,intermediaria,101,10201,10,10,2.012700,693,200
python,medio,intermediaria,101,10201,11,2000017,2.656700,1051,200
python,medio,intermediaria,101,10201,12,12,1.066200,425,200
python,medio,intermediaria,101,10201,13,1000016,1.870500,725,200
python,medio,intermediaria,101,10201,14,14,2.596800,1005,200
